trial,params,mape,mae,rmse,r2
13,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 75, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.01, 'fourier_order_yearly': 15, 'fourier_order_weekly': 20, 'fourier_order_daily': 15, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.261055970644614,186.30907437753584,241.56268644352343,0.994354624510238
14,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 30, 'seasonality_prior_scale': 0.001, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.01, 'fourier_order_yearly': 15, 'fourier_order_weekly': 15, 'fourier_order_daily': 20, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2572453420594871,185.72901651449436,241.03836507681092,0.994379104935151
15,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 20, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.001, 'fourier_order_yearly': 20, 'fourier_order_weekly': 25, 'fourier_order_daily': 20, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2558642168518346,185.4062706829724,240.89479579673767,0.9943857988697465
16,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 25, 'seasonality_prior_scale': 0.01, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.001, 'fourier_order_yearly': 20, 'fourier_order_weekly': 20, 'fourier_order_daily': 15, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2558682100556047,185.40949908598444,240.89177772837672,0.9943859395447379
17,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 1.0, 'n_changepoints': 40, 'seasonality_prior_scale': 0.005, 'holidays_prior_scale': 1.0, 'changepoint_prior_scale': 0.1, 'fourier_order_yearly': 25, 'fourier_order_weekly': 20, 'fourier_order_daily': 20, 'growth': 'linear'}",1.2583615759180657,185.86333596086763,241.1803292964139,0.9943724819150367
18,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.8, 'n_changepoints': 30, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 100.0, 'changepoint_prior_scale': 0.005, 'fourier_order_yearly': 5, 'fourier_order_weekly': 30, 'fourier_order_daily': 15, 'growth': 'linear'}",1.2591850226759151,186.0010363197267,241.295982642943,0.9943670834868129
19,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 20, 'seasonality_prior_scale': 0.001, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.001, 'fourier_order_yearly': 5, 'fourier_order_weekly': 15, 'fourier_order_daily': 20, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2547384164498947,185.27777198725778,240.72222657075739,0.9943938396521814
20,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 50, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.005, 'fourier_order_yearly': 15, 'fourier_order_weekly': 15, 'fourier_order_daily': 15, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2585831924094433,185.90026449353996,241.21901531121563,0.9943706764302451
21,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 50, 'seasonality_prior_scale': 0.05, 'holidays_prior_scale': 100.0, 'changepoint_prior_scale': 0.005, 'fourier_order_yearly': 20, 'fourier_order_weekly': 30, 'fourier_order_daily': 5, 'growth': 'linear'}",1.259170615253565,185.9989439430987,241.29520878326272,0.994367119617377
22,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 25, 'seasonality_prior_scale': 0.01, 'holidays_prior_scale': 5.0, 'changepoint_prior_scale': 0.001, 'fourier_order_yearly': 20, 'fourier_order_weekly': 10, 'fourier_order_daily': 5, 'growth': 'linear'}",1.2570784971912952,185.63798272183055,241.02228138701332,0.9943798550374543
23,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 100, 'seasonality_prior_scale': 0.01, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.05, 'fourier_order_yearly': 20, 'fourier_order_weekly': 10, 'fourier_order_daily': 25, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2610582825896013,186.31236265309994,241.56267842073575,0.9943546248852269
24,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 1.0, 'n_changepoints': 20, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.05, 'fourier_order_yearly': 10, 'fourier_order_weekly': 15, 'fourier_order_daily': 25, 'growth': 'linear'}",1.2595521830989325,186.06592790745333,241.35033526892508,0.9943645455391587
25,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 40, 'seasonality_prior_scale': 0.05, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.01, 'fourier_order_yearly': 10, 'fourier_order_weekly': 30, 'fourier_order_daily': 10, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2620996326417413,186.47883281079118,241.71355357469747,0.9943475707091671
26,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.95, 'n_changepoints': 20, 'seasonality_prior_scale': 0.005, 'holidays_prior_scale': 1.0, 'changepoint_prior_scale': 0.1, 'fourier_order_yearly': 5, 'fourier_order_weekly': 25, 'fourier_order_daily': 20, 'growth': 'linear'}",1.2585106495209046,185.88998065872326,241.20264470275146,0.9943714404854739
27,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 100, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.01, 'fourier_order_yearly': 20, 'fourier_order_weekly': 30, 'fourier_order_daily': 25, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2603797622509298,186.19793449853117,241.46789890467747,0.9943590540541335
28,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.99, 'n_changepoints': 20, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.01, 'fourier_order_yearly': 15, 'fourier_order_weekly': 15, 'fourier_order_daily': 10, 'growth': 'linear'}",1.2595452739349486,186.06206595574616,241.34620164655888,0.9943647385750712
29,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 1.0, 'n_changepoints': 30, 'seasonality_prior_scale': 0.01, 'holidays_prior_scale': 100.0, 'changepoint_prior_scale': 0.005, 'fourier_order_yearly': 5, 'fourier_order_weekly': 25, 'fourier_order_daily': 25, 'growth': 'linear'}",1.2591032274657592,185.98756964758667,241.2846615288146,0.9943676120442636
30,"{'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'add_country_holidays': True, 'add_lag_features': True, 'changepoint_range': 0.97, 'n_changepoints': 40, 'seasonality_prior_scale': 0.001, 'holidays_prior_scale': 10.0, 'changepoint_prior_scale': 0.05, 'fourier_order_yearly': 25, 'fourier_order_weekly': 10, 'fourier_order_daily': 25, 'growth': 'logistic', 'floor': 0, 'cap': np.float64(30276.0)}",1.2594397930544046,186.09601013519801,241.34083473393414,0.9943649891994375
