Residual_ESN,Residual_LSTM,Residual_CNN_LSTM
346.6758422742896,-269.126953125,143.04296875
-158.77717258417033,-497.306640625,-98.990234375
298.327942347285,69.04296875,451.314453125
-325.4275404855034,-349.669921875,-8.18359375
56.67410009591913,20.181640625,328.638671875
753.0198135020728,738.8984375,997.28515625
-43.09548016257759,0.578125,197.529296875
337.11133791633256,276.81640625,427.58984375
246.31385835898982,208.84765625,310.359375
-390.73407482395487,-506.310546875,-452.724609375
-254.71632983522068,-456.205078125,-112.765625
342.8007835407152,234.126953125,595.654296875
-129.8915560299647,-129.05078125,80.978515625
275.4028113748791,231.310546875,299.67578125
-300.3831765072064,-228.0625,-401.33203125
-342.7913343326618,-107.822265625,-386.42578125
176.56863009794688,845.53125,569.45703125
-123.13833775247622,635.23828125,422.65625
-530.5187838772472,-661.80078125,-724.154296875
104.59747886482,-522.529296875,-441.16796875
-194.95509735204178,-687.115234375,-496.810546875
-138.60777886767391,-648.830078125,-383.02734375
-259.63344706015414,-873.4609375,-569.90625
-9.022054936282075,-633.58203125,-305.8671875
69.10011224455593,-272.4453125,74.728515625
15.384594354993169,-167.70703125,166.52734375
-90.82409627713787,-32.126953125,289.77734375
-34.40543260416234,25.30078125,310.47265625
383.91539738505526,547.83203125,797.5546875
-443.1394093426934,-72.123046875,134.669921875
384.5565357639571,333.150390625,493.5
157.62604201923386,122.541015625,232.27734375
22.324697260864923,-115.755859375,-54.732421875
412.44661573604753,49.115234375,62.732421875
174.135216842511,-38.0703125,238.66796875
-108.61414895884809,-181.779296875,127.380859375
332.0568867641923,173.392578125,391.107421875
-171.48134323497288,-106.548828125,-47.5703125
44.143395766241156,-7.6484375,-157.703125
235.5361020512173,434.021484375,164.3515625
8.811611041652213,785.2734375,536.046875
150.24681557207805,804.19921875,646.64453125
-272.66930770693216,-348.75390625,-376.455078125
67.87622090981313,-384.634765625,-292.646484375
126.6896042149092,-326.224609375,-150.625
-236.48562531469724,-652.7265625,-425.16796875
224.8728572393993,-326.74609375,-73.681640625
195.89797942396763,-174.466796875,86.45703125
296.1641038476919,172.71484375,437.73046875
294.50620993373013,392.533203125,644.4765625
137.5108532665363,408.337890625,639.564453125
159.7795669304869,475.517578125,680.111328125
-235.8499391886835,193.787109375,372.837890625
157.43494497034771,365.03125,508.7890625
-110.21233107997614,140.916015625,247.5625
99.72260635384009,229.337890625,295.841796875
56.02797764755451,127.220703125,152.8359375
-21.428378302236524,45.248046875,28.345703125
138.08715609864885,81.283203125,282.712890625
-80.10193689649896,-48.115234375,118.23828125
-154.29305361205843,-49.35546875,67.48828125
-285.43708040670026,-128.37890625,-152.8515625
-195.41382181929657,-55.84375,-216.0703125
-279.9485356508558,33.568359375,-183.98828125
-18.681022076863883,513.607421875,328.580078125
42.278005432763166,674.712890625,570.8125
-149.01026163537972,53.9765625,54.5
-101.1083643174643,-285.828125,-188.298828125
71.35970664833803,-314.919921875,-145.900390625
145.37770085270677,-374.779296875,-171.14453125
265.5554356571447,-250.767578125,-23.951171875
148.4464271986326,-268.478515625,-34.140625
350.98929236003096,97.859375,337.251953125
-228.377879505093,-225.146484375,3.099609375
68.29199647736095,79.029296875,292.587890625
140.78501757744016,269.451171875,454.16015625
-170.62924126512735,-49.724609375,96.115234375
-493.13835762532835,-469.09765625,-358.404296875
-17.90852260191241,-165.947265625,-90.51171875
3.771374252592068,-59.87109375,-24.822265625
-264.2658292020096,-307.6171875,-314.904296875
4.847223943943391,-112.341796875,-162.6875
264.4633793734756,-50.599609375,185.810546875
-105.9119958987394,-384.83203125,-185.484375
-32.53531949583339,-346.2421875,-201.521484375
-124.02000721445802,-376.634765625,-341.0634765625
-14.034953478070747,-347.466796875,-419.26953125
213.03808322930126,-156.5927734375,-289.1435546875
-13.399116752549162,-215.814453125,-326.14453125
-145.81439232824414,-357.69921875,-388.2265625
393.14490589399065,-3.509765625,59.64453125
47.41769045393448,-251.431640625,-111.791015625
-494.4513482117509,-899.951171875,-703.712890625
-179.16209215190975,-875.892578125,-633.541015625
135.8347380971718,-560.037109375,-290.119140625
-69.03268180377563,-614.0078125,-345.080078125
-301.3153580495418,-744.1484375,-474.138671875
154.87682651182695,-261.447265625,-7.09375
-201.52050602662712,-301.099609375,-76.1796875
-187.77637856084039,-197.517578125,-2.3046875
247.47683077955298,213.408203125,363.5546875
185.8156344129602,207.587890625,299.833984375
-157.55444120318498,-70.3046875,-23.00390625
-204.9211764240681,-164.458984375,-155.9296875
91.62997809097578,62.078125,29.283203125
52.849773152538546,97.583984375,23.0205078125
-82.28147307922882,-149.7119140625,-82.4775390625
69.89149301508223,-19.8017578125,21.1494140625
-26.250391333549487,-34.939453125,-58.9853515625
-73.26033111015204,-12.7080078125,-125.9296875
86.3864192527817,63.0390625,-125.708984375
159.93863854423944,98.1689453125,-107.841796875
-199.76683359620802,-198.9013671875,-362.9111328125
-313.2224556330493,-342.3115234375,-413.12109375
155.60596225245718,79.9072265625,122.830078125
106.34721961876858,112.142578125,225.109375
5.032491391106305,-48.701171875,84.662109375
-66.66875605147652,-206.794921875,-63.20703125
146.39087292034674,-78.1171875,82.357421875
-49.94110857869964,-264.091796875,-107.8671875
364.923414457131,134.88671875,282.07421875
-44.18270990414385,-15.0859375,120.173828125
8.082655182406597,89.392578125,208.990234375
70.96299200331487,275.509765625,374.52734375
66.71252497873866,417.759765625,495.478515625
53.30686922065797,404.873046875,451.84765625
65.72986764877714,314.693359375,327.4375
-210.8186450616995,-29.3125,-48.107421875
-90.69421534343928,4.45703125,-44.4765625
55.53925703866298,101.9892578125,19.3994140625
208.6082821671862,-201.326171875,168.619140625
14.660415814318185,-387.9716796875,27.365234375
-241.2343526118384,-554.546875,-173.9248046875
72.67850872886811,-302.0244140625,-47.224609375
25.810532737972608,-222.8349609375,-222.1982421875
-153.93994445952922,33.5068359375,-228.2294921875
138.20485082444065,853.31640625,441.2421875
150.62372683455033,1175.123046875,803.62109375
-518.5394845339652,104.755859375,-95.029296875
-283.75271881468507,-413.9140625,-433.166015625
181.3815304680502,-293.1015625,-161.86328125
-121.48966610374919,-613.3515625,-372.228515625
-213.35042499571136,-669.97265625,-347.193359375
-145.80137549875144,-595.365234375,-225.21875
-125.2930175056681,-447.916015625,-44.611328125
-29.291032446646568,-324.0625,85.271484375
315.81170177065724,83.67578125,484.599609375
-217.07254880739492,-262.603515625,114.134765625
-58.45104147771781,-127.03515625,227.2109375
392.23121973761954,342.115234375,660.330078125
344.1968437277901,372.078125,635.5859375
116.47624902929601,58.90234375,262.76171875
